,indice_tiempo,ventas_naftas_ypf,covid_impact,ARMA_Pred,ventas_boxcox
0,1999-01-01,18.99682185759444,0,294723.7911965993,177916156.04850224
1,1999-02-01,18.93065465376471,0,207543.91171371297,166524958.2495602
2,1999-03-01,18.96928140586088,0,191392.69635011564,173083121.86119622
3,1999-04-01,18.927808512936537,0,198265.19990689124,166051678.56469184
4,1999-05-01,18.912601382391095,0,189520.86169927905,163545612.17602488
5,1999-06-01,18.895703234265042,0,184917.7137370135,160805213.05422896
6,1999-07-01,18.94990692619131,0,180599.77078604727,169762002.576882
7,1999-08-01,18.936147021008214,0,192173.91383532254,167442090.846623
8,1999-09-01,18.92012884598776,0,190580.51560863003,164781341.01891422
9,1999-10-01,18.934939175836217,0,186736.15583875,167239968.80254954
10,1999-11-01,18.89466495899063,0,189555.32294698473,160638339.61144602
11,1999-12-01,18.984404161337213,0,181015.06196509406,175720507.77589783
12,2000-01-01,18.921308187801944,0,200528.70855944903,164975789.19566324
13,2000-02-01,18.85789025554007,0,188369.6777520058,154838214.50389788
14,2000-03-01,18.877590878767315,0,173172.31660361186,157918869.81723207
15,2000-04-01,18.850624833608524,0,175139.48935690935,153717326.26152313
16,2000-05-01,18.81349305537599,0,169884.51180905325,148114199.01815438
17,2000-06-01,18.79183266061085,0,161918.6478441036,144940482.83616796
18,2000-07-01,18.833456768462092,0,156784.2641129902,151100821.43987074
19,2000-08-01,18.825534221261645,0,163957.2462247541,149908447.52449077
20,2000-09-01,18.798208078425233,0,163405.90376269052,145867490.92814118
21,2000-10-01,18.804811164741103,0,158163.53688420652,146833853.60463282
22,2000-11-01,18.77632259116408,0,158670.36778100132,142709789.55049956
23,2000-12-01,18.885012805160017,0,153527.1874448111,159095292.38572872
24,2001-01-01,18.871793620350452,0,173996.45238151285,157006021.8222667
25,2001-02-01,18.78728278882161,0,174045.47990397198,144282520.13501757
26,2001-03-01,18.810344497158834,0,157622.7307679443,147648586.19703186
27,2001-04-01,18.757631999109712,0,159635.1178865882,140067231.32720098
28,2001-05-01,18.73969202287584,0,150361.4342073535,137576833.98151538
29,2001-06-01,18.713121127721436,0,146005.86588574748,133969432.28355396
30,2001-07-01,18.78973523911616,0,140998.1992700012,144636800.11781693
31,2001-08-01,18.74040096748485,0,153519.97121569215,137674402.9244298
32,2001-09-01,18.6958992374848,0,146560.81607077539,131681978.93907467
33,2001-10-01,18.72891918266829,0,138311.27154120264,136102695.21821994
34,2001-11-01,18.715421366645373,0,142538.07386598573,134277948.70237663
35,2001-12-01,18.768094837848764,0,140895.33043367427,141540425.74116018
36,2002-01-01,18.755694718773178,0,149616.16827009004,139796144.48585945
37,2002-02-01,18.757087414242058,0,148645.45091367644,139990973.59359825
38,2002-03-01,18.79676312916128,0,148753.6331810092,145656871.99351537
39,2002-04-01,18.7482724453946,0,155878.95839854243,138762380.39860368
40,2002-05-01,18.744757587486312,0,148227.5355458606,138275506.4624897
41,2002-06-01,18.669631288781382,0,146572.85721976394,128267998.66636753
42,2002-07-01,18.706592158751473,0,134234.72685145677,133097599.13962942
43,2002-08-01,18.679754491532087,0,138321.38492877013,129573076.35179342
44,2002-09-01,18.59350798312458,0,134651.10809936363,118866201.5357919
45,2002-10-01,18.6494291323129,0,121649.0356630976,125702707.75934461
46,2002-11-01,18.63591046163895,0,127775.12585476789,124014808.9126843
47,2002-12-01,18.71644169303734,0,126643.32746523936,134415025.96666878
48,2003-01-01,18.73630649980126,0,138873.46279396644,137111851.95125303
49,2003-02-01,18.641858834841635,0,143852.55287977142,124754693.70423053
50,2003-03-01,18.65751965661945,0,129721.10172115214,126723833.79561014
51,2003-04-01,18.66800131687634,0,130088.07726161342,128059095.71690907
52,2003-05-01,18.6199580855307,0,131717.2901014117,122052173.86740771
53,2003-06-01,18.586479264494095,0,124906.43174298378,118033653.69184722
54,2003-07-01,18.674855623106282,0,119358.61984607001,128939867.12590173
55,2003-08-01,18.6345643999801,0,131285.99475006218,123847989.62133895
56,2003-09-01,18.624892367613015,0,126932.23450500413,122655902.02184941
57,2003-10-01,18.6685079843827,0,124946.89768252519,128123995.54404753
58,2003-11-01,18.587611868763158,0,131086.38127869947,118167414.85624228
59,2003-12-01,18.728299380220175,0,120361.70074804922,136018364.56557125
60,2004-01-01,18.71884897257059,0,139963.55258510337,134738990.3099813
61,2004-02-01,18.630002648468235,0,141101.47655747377,123284312.48306444
62,2004-03-01,18.662598769661482,0,127627.49995045405,127369115.86058412
63,2004-04-01,18.649073871922575,0,130561.68467852642,125658058.49473451
64,2004-05-01,18.627331023026365,0,128949.82575494688,122955382.538709
65,2004-06-01,18.619862259476562,0,125572.21772303319,122040478.648731
66,2004-07-01,18.696944923361368,0,124046.82696040842,131819748.95373298
67,2004-08-01,18.643681529217098,0,135377.1972547084,124982290.75556412
68,2004-09-01,18.64386063486061,0,128820.54012084214,125004677.79550205
69,2004-10-01,18.664835610238278,0,127944.00884296067,127654339.16763839
70,2004-11-01,18.654490889873422,0,130942.64671405565,126340597.494823
71,2004-12-01,18.77912226840805,0,129804.72753412652,143109890.74407813
72,2005-01-01,18.76929910022299,0,150055.13343510727,141710980.2376229
73,2005-02-01,18.692027524594234,0,151090.40739843226,131173129.78301449
74,2005-03-01,18.805114034271472,0,138323.57204284845,146878331.8431788
75,2005-04-01,18.72237677030789,0,155995.38372152,135215161.6723529
76,2005-05-01,18.715079177029857,0,143888.8602027144,134232008.0402143
77,2005-06-01,18.68791679783365,0,141025.50366799984,130635019.62046435
78,2005-07-01,18.756177141039085,0,136292.62717582184,139863601.5333804
79,2005-08-01,18.767812566760043,0,146894.7298060872,141500478.6065635
80,2005-09-01,18.753267475341683,0,150392.29823393817,139457236.66132814
81,2005-10-01,18.804191425495084,0,148332.06107925202,146742883.08858103
82,2005-11-01,18.799727302986017,0,157200.89132232498,146089264.8377297
83,2005-12-01,18.86422565283379,0,157590.7846039007,155822290.13971782
84,2006-01-01,18.8982446611431,0,170226.6050261304,161214407.52130327
85,2006-02-01,18.83513763721171,0,179124.9780971518,151355015.67978442
86,2006-03-01,18.85694792734042,0,167362.12405817193,154692374.80325824
87,2006-04-01,18.846757906838942,0,170088.8215931852,153124060.37426898
88,2006-05-01,18.85002201349907,0,168415.4177096354,153624690.28397563
89,2006-06-01,18.803086193602766,0,168837.80045505252,146580787.7560671
90,2006-07-01,18.86123982234322,0,159817.8750401479,155357725.0644436
91,2006-08-01,18.907717584113744,0,169922.73452207024,162748835.5746895
92,2006-09-01,18.875003154782863,0,181144.64910199228,157510747.62394366
93,2006-10-01,18.913706708319687,0,175696.82700996634,163726483.33632722
94,2006-11-01,18.90464386779856,0,183258.74202881666,162249359.80622596
95,2006-12-01,19.00120356493181,0,182308.5672477067,178697443.0630525
96,2007-01-01,19.029460544235334,0,204912.68721119204,183818911.19940642
97,2007-02-01,18.946542640393776,0,215354.33742218523,169191834.28638583
98,2007-03-01,18.991178456237108,0,196173.50911660853,176914931.51765096
99,2007-04-01,18.930580210537908,0,204298.4698335735,166512562.05489737
100,2007-05-01,18.966767427046555,0,190979.81607204716,172648541.02274936
101,2007-06-01,18.986065234360698,0,197602.63988581084,176012634.94585836
102,2007-07-01,19.045766131879976,0,203223.49464985394,186840756.29800802
103,2007-08-01,19.036679718687694,0,219501.83574673985,185150733.62154794
104,2007-09-01,18.997180884413982,0,219288.39530914568,177980044.19255158
105,2007-10-01,19.06023088160367,0,208986.97723733238,189563002.09654465
106,2007-11-01,19.02349231524779,0,224276.33426575156,182725105.06108958
107,2007-12-01,19.105987104393265,0,216445.08975086972,198438188.76250157
108,2008-01-01,19.149886521768863,0,238512.74823677767,207343550.19282913
109,2008-02-01,19.055743721934395,0,255158.92215893292,188714308.1185334
110,2008-03-01,19.09664558038471,0,229388.76854531973,196593104.89967126
111,2008-04-01,19.0177956208641,0,237519.70705553459,181687135.21703818
112,2008-05-01,18.998430866766572,0,216778.58372771932,178202655.22285393
113,2008-06-01,18.99185871245953,0,208956.81641533226,177035319.95162138
114,2008-07-01,19.105252097782806,0,206228.48176242725,198292388.9607237
115,2008-08-01,19.113664494515547,0,236886.23981750532,199967539.45395035
116,2008-09-01,19.10918287513291,0,243638.95791795856,199073366.16230276
117,2008-10-01,19.138499368169303,0,243215.77824126053,204995889.1388322
118,2008-11-01,19.110906470279748,0,252184.85950230432,199416783.94461918
119,2008-12-01,19.241786389224142,0,244911.5909457145,227301414.49510658
120,2009-01-01,19.221677646181128,0,287813.21982031764,222776317.9402022
121,2009-02-01,19.15137073416303,0,286361.88650386955,207651520.57057813
122,2009-03-01,19.177441650165736,0,262223.86674059305,213136373.187738
123,2009-04-01,19.158555062924364,0,267464.4293206157,209148729.24167955
124,2009-05-01,19.137836328272787,0,261946.4795141667,204860013.7270413
125,2009-06-01,19.1415505096481,0,254554.91288733302,205622315.8131497
126,2009-07-01,19.14506763204663,0,254710.02638325872,206346787.99586102
127,2009-08-01,19.170864528658843,0,255848.3859885361,211739149.16374993
128,2009-09-01,19.16590965933752,0,264392.36619204597,210692604.16778967
129,2009-10-01,19.209647675305053,0,263930.8555261397,220112380.81694394
130,2009-11-01,19.170206822236185,0,278784.0809307547,211599932.74294406
131,2009-12-01,19.269668236067794,0,267332.0768725584,233728176.8072722
132,2010-01-01,19.28490846941253,0,301505.3396369575,237317530.82132566
133,2010-02-01,19.16441577387175,0,312212.3200105333,210378088.5114285
134,2010-03-01,19.205718022111814,0,270023.5998585537,219249112.72253823
135,2010-04-01,19.176280796818762,0,278239.5930412949,212889096.65278792
136,2010-05-01,19.184050088297003,0,269280.5679907914,214549536.0742372
137,2010-06-01,19.164531606743672,0,270664.1082832391,210402458.62263528
138,2010-07-01,19.21953233335419,0,264341.14389757556,222298905.2989806
139,2010-08-01,19.223251564214635,0,282359.1135157526,223127225.7052901
140,2010-09-01,19.20615400332285,0,286178.3256259751,219344722.06298774
141,2010-10-01,19.244553358080758,0,280616.8824783733,227931221.3979763
142,2010-11-01,19.23067780163398,0,293760.5142352865,224790389.4492136
143,2010-12-01,19.34989813353285,0,290444.6462907816,253252928.1392443
144,2011-01-01,19.336674813000588,0,338015.85339165013,249926127.4278836
